,ampds_card,hour,callsign,count,proportion
369,14,19,CC70,2,0.4
370,14,19,CC71,1,0.2
371,14,19,H70,2,0.4
372,14,20,CC70,3,0.5
373,14,20,H70,3,0.5
374,14,21,CC70,3,0.5
375,14,21,H70,3,0.5
376,14,22,CC70,1,0.5
377,14,22,H70,1,0.5
378,14,23,CC72,1,0.5
379,14,23,H70,1,0.5
380,17,0,CC70,15,0.5172
381,17,0,H70,12,0.4138
382,17,0,H71,2,0.069
383,17,1,CC70,2,0.3333
384,17,1,H70,4,0.6667
385,17,3,CC70,1,1.0
386,17,4,H70,1,1.0
387,17,5,H70,2,1.0
388,17,6,CC70,5,0.5
389,17,6,CC71,1,0.1
390,17,6,CC72,2,0.2
391,17,6,H70,1,0.1
392,17,6,H71,1,0.1
393,17,7,CC70,6,0.24
394,17,7,CC71,2,0.08
395,17,7,CC72,2,0.08
396,17,7,H70,13,0.52
397,17,7,H71,2,0.08
398,17,8,CC70,3,0.0882
399,17,8,CC71,1,0.0294
400,17,8,CC72,6,0.1765
401,17,8,H70,20,0.5882
402,17,8,H71,4,0.1176
403,17,9,CC70,10,0.1149
404,17,9,CC71,5,0.0575
405,17,9,CC72,10,0.1149
406,17,9,H70,47,0.5402
407,17,9,H71,15,0.1724
408,17,10,CC70,10,0.0885
409,17,10,CC71,11,0.0973
410,17,10,CC72,18,0.1593
411,17,10,H70,41,0.3628
412,17,10,H71,33,0.292
413,17,11,CC70,5,0.0342
414,17,11,CC71,9,0.0616
415,17,11,CC72,11,0.0753
416,17,11,H70,78,0.5342
417,17,11,H71,43,0.2945
418,17,12,CC70,10,0.0775
419,17,12,CC71,10,0.0775
420,17,12,CC72,13,0.1008
421,17,12,H70,50,0.3876
422,17,12,H71,46,0.3566
423,17,13,CC70,12,0.1
424,17,13,CC71,6,0.05
425,17,13,CC72,14,0.1167
426,17,13,H70,54,0.45
427,17,13,H71,34,0.2833
428,17,14,CC70,10,0.0769
429,17,14,CC71,8,0.0615
430,17,14,CC72,13,0.1
431,17,14,H70,58,0.4462
432,17,14,H71,41,0.3154
433,17,15,CC70,12,0.1034
434,17,15,CC71,8,0.069
